"capture" "gender" "age" "reason" "nation"
"72" 2 1 1 0 "North Africa"
"73" 1 1 0 0 "Asia"
"74" 1 1 1 0 "North Africa"
"75" 2 1 1 0 "North Africa"
"76" 1 1 1 0 "North Africa"
"77" 1 1 1 1 "North Africa"
"78" 1 1 1 0 "North Africa"
"79" 1 1 1 0 "Turkey"
"80" 2 1 1 0 "North Africa"
"81" 2 1 1 0 "North Africa"
"82" 2 1 1 0 "North Africa"
"83" 1 1 1 0 "North Africa"
"84" 1 1 1 0 "North Africa"
"85" 1 1 1 0 "North Africa"
"86" 1 1 1 0 "North Africa"
"87" 1 1 0 0 "Asia"
"88" 1 1 1 0 "North Africa"
"89" 1 1 1 0 "North Africa"
"90" 1 1 1 0 "North Africa"
"91" 1 1 1 0 "Asia"
"92" 1 1 1 0 "North Africa"
"93" 1 1 1 1 "North Africa"
"94" 1 1 1 0 "North Africa"
"95" 2 1 1 0 "North Africa"
"96" 2 1 1 0 "North Africa"
"97" 1 1 1 0 "North Africa"
"98" 1 1 1 0 "North Africa"
"99" 1 1 1 0 "North Africa"
"100" 1 1 1 0 "Rest of Africa"
"101" 1 1 1 0 "North Africa"
"102" 1 1 1 0 "North Africa"
"103" 1 1 1 0 "North Africa"
"104" 1 1 1 1 "North Africa"
"105" 1 1 1 0 "North Africa"
"106" 1 1 1 0 "North Africa"
"107" 1 1 1 0 "North Africa"
"108" 1 1 1 0 "North Africa"
"109" 2 1 1 0 "North Africa"
"110" 1 1 1 0 "North Africa"
"111" 1 1 1 0 "North Africa"
"112" 1 1 1 0 "North Africa"
"113" 2 1 1 0 "North Africa"
"114" 1 1 1 0 "Asia"
"115" 1 0 1 0 "American and Australia"
"116" 1 1 1 0 "North Africa"
"117" 1 1 1 0 "North Africa"
"118" 1 1 1 0 "Turkey"
"119" 3 1 1 0 "North Africa"
"120" 1 1 1 0 "American and Australia"
"121" 1 1 1 0 "Asia"
"122" 1 1 1 0 "North Africa"
"123" 1 1 1 0 "North Africa"
"124" 1 1 1 0 "Rest of Africa"
"125" 1 1 1 0 "North Africa"
"126" 2 1 1 0 "North Africa"
"127" 1 1 1 0 "Asia"
"128" 1 1 1 1 "Rest of Africa"
"129" 1 1 1 1 "North Africa"
"130" 1 1 1 0 "Surinam"
"131" 1 1 1 0 "North Africa"
"132" 1 1 1 0 "Rest of Africa"
"133" 1 1 1 0 "Rest of Africa"
"134" 1 1 1 1 "Rest of Africa"
"135" 1 1 1 0 "North Africa"
"136" 1 1 1 0 "North Africa"
"137" 1 1 1 1 "Surinam"
"138" 1 1 1 0 "Surinam"
"139" 1 1 1 0 "North Africa"
"140" 1 1 1 0 "North Africa"
"141" 1 1 1 0 "North Africa"
"142" 1 1 1 0 "North Africa"
"143" 1 1 1 0 "North Africa"
"144" 1 1 1 0 "North Africa"
"145" 1 1 1 0 "North Africa"
"146" 1 1 1 0 "North Africa"
"147" 2 1 1 0 "North Africa"
"148" 2 1 1 0 "North Africa"
"149" 2 1 1 0 "North Africa"
"150" 1 1 1 0 "North Africa"
"151" 1 1 1 0 "North Africa"
"152" 2 1 1 1 "North Africa"
"153" 1 1 1 0 "North Africa"
"154" 1 1 1 0 "Asia"
"155" 1 1 1 0 "North Africa"
"156" 1 1 1 0 "Rest of Africa"
"157" 1 1 1 0 "Turkey"
"158" 1 1 1 0 "Surinam"
"159" 1 1 1 0 "Turkey"
"160" 3 0 1 1 "American and Australia"
"161" 2 1 1 0 "American and Australia"
"162" 1 1 1 0 "Turkey"
"163" 1 1 1 0 "Turkey"
"164" 1 1 1 0 "Turkey"
"165" 2 1 1 0 "North Africa"
"166" 1 1 1 0 "North Africa"
"167" 1 1 1 0 "North Africa"
"168" 1 1 1 0 "Asia"
"169" 1 1 1 0 "Asia"
"170" 1 1 1 1 "Rest of Africa"
"171" 1 1 1 0 "Asia"
"172" 1 1 1 0 "North Africa"
"173" 3 1 1 0 "Asia"
"174" 1 1 1 0 "American and Australia"
"175" 1 1 1 0 "Turkey"
"176" 1 1 1 0 "Rest of Africa"
"177" 1 1 1 0 "Surinam"
"178" 1 1 1 0 "Surinam"
"179" 1 1 1 0 "American and Australia"
"180" 1 1 1 0 "Surinam"
"181" 1 1 1 0 "North Africa"
"182" 1 1 1 0 "North Africa"
"183" 1 1 1 0 "North Africa"
"184" 1 1 1 0 "North Africa"
"185" 1 1 1 0 "Rest of Africa"
"186" 1 1 1 0 "Rest of Africa"
"187" 3 1 1 0 "Rest of Africa"
"188" 1 1 1 1 "North Africa"
"189" 1 1 0 0 "Surinam"
"190" 1 1 1 0 "Turkey"
"191" 1 1 1 0 "Rest of Africa"
"192" 1 1 1 1 "North Africa"
"193" 2 1 1 0 "Asia"
"194" 1 1 1 0 "North Africa"
"195" 1 1 1 0 "North Africa"
"196" 2 1 1 0 "North Africa"
"197" 1 1 1 0 "Asia"
"198" 1 1 1 0 "North Africa"
"199" 1 1 1 0 "North Africa"
"200" 2 1 1 0 "North Africa"
"201" 1 1 1 0 "Surinam"
"202" 1 1 1 0 "Surinam"
"203" 1 1 1 0 "Surinam"
"204" 1 1 1 0 "Turkey"
"205" 2 1 1 0 "North Africa"
"206" 1 1 1 0 "Surinam"
"207" 1 1 1 0 "Rest of Africa"
"208" 1 1 1 0 "North Africa"
"209" 1 1 1 0 "Asia"
"210" 1 1 0 0 "North Africa"
"211" 1 1 1 0 "American and Australia"
"212" 1 1 1 0 "Rest of Africa"
"213" 1 1 0 1 "Rest of Africa"
"214" 1 1 1 0 "Turkey"
"215" 3 1 1 0 "North Africa"
"216" 1 1 1 1 "North Africa"
"217" 1 1 1 0 "North Africa"
"218" 1 1 1 0 "North Africa"
"219" 1 1 1 0 "North Africa"
"220" 1 1 1 0 "Asia"
"221" 1 1 1 0 "North Africa"
"222" 2 1 1 1 "North Africa"
"223" 1 1 1 0 "North Africa"
"224" 1 1 1 0 "North Africa"
"225" 1 1 1 0 "North Africa"
"226" 1 1 1 1 "North Africa"
"227" 1 1 1 0 "North Africa"
"228" 1 1 1 1 "American and Australia"
"229" 1 1 1 1 "Asia"
"230" 2 1 0 1 "Asia"
"231" 1 1 1 1 "North Africa"
"232" 1 1 1 0 "Turkey"
"233" 2 1 1 0 "Turkey"
"234" 1 1 1 0 "North Africa"
"235" 1 1 1 0 "North Africa"
"236" 1 1 1 1 "North Africa"
"237" 3 1 1 0 "North Africa"
"238" 1 1 1 0 "Asia"
"239" 1 1 1 0 "American and Australia"
"240" 1 1 1 0 "North Africa"
"241" 1 1 1 0 "Turkey"
"242" 1 1 1 0 "Turkey"
"243" 1 1 1 0 "North Africa"
"244" 1 1 1 0 "Asia"
"245" 2 1 1 0 "North Africa"
"246" 1 1 1 0 "Rest of Africa"
"247" 1 1 1 1 "Turkey"
"248" 1 1 1 0 "Turkey"
"249" 1 1 1 0 "North Africa"
"250" 1 1 1 1 "Asia"
"251" 1 1 1 0 "Rest of Africa"
"252" 1 1 0 0 "North Africa"
"253" 1 1 1 0 "North Africa"
"254" 1 0 1 0 "American and Australia"
"255" 1 1 1 0 "Asia"
"256" 1 1 1 0 "Turkey"
"257" 1 1 1 0 "North Africa"
"258" 2 1 1 0 "Rest of Africa"
"259" 1 1 1 0 "North Africa"
"260" 1 1 1 1 "Rest of Africa"
"261" 1 1 1 0 "Surinam"
"262" 1 1 1 0 "American and Australia"
"263" 1 1 1 0 "American and Australia"
"264" 1 1 1 0 "American and Australia"
"265" 2 1 1 0 "American and Australia"
"266" 1 1 1 0 "Asia"
"267" 1 1 0 0 "North Africa"
"268" 1 1 1 0 "North Africa"
"269" 1 1 0 0 "North Africa"
"270" 1 0 1 0 "North Africa"
"271" 4 1 1 0 "North Africa"
"272" 1 1 1 0 "Asia"
"273" 1 1 1 0 "North Africa"
"274" 5 0 1 0 "North Africa"
"275" 1 1 1 0 "Asia"
"276" 3 1 1 0 "North Africa"
"277" 1 1 1 0 "North Africa"
"278" 1 1 1 0 "Turkey"
"279" 1 1 1 0 "Asia"
"280" 1 1 1 0 "North Africa"
"281" 2 1 1 0 "North Africa"
"282" 1 1 1 0 "North Africa"
"283" 1 1 1 0 "North Africa"
"284" 2 1 1 0 "Rest of Africa"
"285" 1 1 1 0 "North Africa"
"286" 1 1 1 0 "North Africa"
"287" 1 1 1 0 "North Africa"
"288" 1 1 1 0 "Asia"
"289" 1 1 1 0 "American and Australia"
"290" 1 1 0 0 "Surinam"
"291" 1 1 1 0 "Asia"
"292" 1 1 1 1 "North Africa"
"293" 1 1 0 0 "North Africa"
"294" 1 1 0 0 "North Africa"
"295" 1 1 1 1 "North Africa"
"296" 1 1 1 0 "Asia"
"297" 1 0 1 0 "Rest of Africa"
"298" 1 1 1 0 "North Africa"
"299" 1 1 1 0 "Rest of Africa"
"300" 1 1 1 0 "North Africa"
"301" 1 1 1 0 "Rest of Africa"
"302" 1 1 1 0 "North Africa"
"303" 1 1 1 0 "North Africa"
"304" 1 1 1 1 "Rest of Africa"
"305" 1 1 1 0 "Turkey"
"306" 1 1 1 0 "Rest of Africa"
"307" 1 1 1 0 "North Africa"
"308" 1 1 1 1 "Asia"
"309" 1 1 1 0 "North Africa"
"310" 1 1 1 0 "North Africa"
"311" 1 1 1 0 "Rest of Africa"
"312" 1 1 1 0 "North Africa"
"313" 1 1 1 0 "Rest of Africa"
"314" 1 1 1 1 "North Africa"
"315" 1 1 1 0 "North Africa"
"316" 1 0 1 0 "American and Australia"
"317" 1 1 1 0 "Rest of Africa"
"318" 1 1 1 0 "Asia"
"319" 3 1 1 1 "American and Australia"
"320" 1 1 1 1 "Rest of Africa"
"321" 1 1 1 1 "Rest of Africa"
"322" 1 1 1 0 "American and Australia"
"323" 2 1 1 0 "Rest of Africa"
"324" 1 1 1 0 "Rest of Africa"
"325" 1 1 1 0 "North Africa"
"326" 1 0 1 0 "Rest of Africa"
"327" 1 1 1 0 "North Africa"
"328" 2 1 1 0 "North Africa"
"329" 1 1 1 0 "North Africa"
"330" 1 1 1 0 "North Africa"
"331" 4 1 1 0 "North Africa"
"332" 2 1 1 0 "North Africa"
"333" 1 1 1 0 "Asia"
"334" 2 1 1 0 "North Africa"
"335" 1 1 1 0 "Asia"
"336" 1 1 1 0 "Turkey"
"337" 1 1 1 1 "North Africa"
"338" 1 1 1 0 "North Africa"
"339" 1 1 1 1 "North Africa"
"340" 1 1 1 0 "North Africa"
"341" 6 1 1 0 "North Africa"
"342" 1 1 1 0 "Turkey"
"343" 1 1 1 0 "Rest of Africa"
"344" 1 1 1 0 "North Africa"
"345" 1 1 0 0 "Rest of Africa"
"346" 1 1 1 0 "North Africa"
"347" 1 1 1 0 "Asia"
"348" 1 1 1 1 "Asia"
"349" 1 1 1 0 "American and Australia"
"350" 1 1 1 1 "Surinam"
"351" 1 1 1 0 "Turkey"
"352" 1 1 0 0 "Asia"
"353" 1 1 1 0 "North Africa"
"354" 1 1 1 0 "North Africa"
"355" 1 1 0 0 "North Africa"
"356" 1 1 1 0 "North Africa"
"357" 1 1 1 0 "Surinam"
"358" 1 1 1 1 "Surinam"
"359" 1 1 1 0 "North Africa"
"360" 1 1 1 0 "Surinam"
"361" 1 1 1 0 "North Africa"
"362" 1 1 1 0 "North Africa"
"363" 1 1 1 0 "North Africa"
"364" 2 1 1 0 "North Africa"
"365" 1 1 1 1 "North Africa"
"366" 1 1 1 0 "North Africa"
"367" 1 1 1 0 "North Africa"
"368" 1 1 1 0 "North Africa"
"369" 1 1 1 0 "North Africa"
"370" 1 1 1 0 "North Africa"
"371" 1 1 0 0 "Rest of Africa"
"372" 1 1 1 0 "Asia"
"373" 1 1 1 1 "North Africa"
"374" 1 1 1 0 "Asia"
"375" 2 1 1 0 "North Africa"
"376" 1 1 1 0 "North Africa"
"377" 1 1 1 0 "American and Australia"
"378" 1 1 1 0 "North Africa"
"379" 2 1 1 0 "North Africa"
"380" 1 1 1 0 "Rest of Africa"
"381" 1 1 1 0 "American and Australia"
"382" 1 1 1 0 "Turkey"
"383" 2 1 1 1 "North Africa"
"384" 1 1 0 0 "North Africa"
"385" 1 0 1 0 "Rest of Africa"
"386" 1 1 1 0 "North Africa"
"387" 1 1 1 0 "North Africa"
"388" 1 1 1 0 "North Africa"
"389" 1 1 1 0 "Rest of Africa"
"390" 1 1 1 0 "Asia"
"391" 1 1 1 0 "Asia"
"392" 1 1 1 0 "Asia"
"393" 3 1 1 0 "North Africa"
"394" 1 1 1 0 "Surinam"
"395" 3 1 1 0 "American and Australia"
"396" 2 1 1 0 "Asia"
"397" 1 1 1 0 "Asia"
"398" 1 1 1 0 "North Africa"
"399" 1 1 1 0 "North Africa"
"400" 1 1 0 1 "North Africa"
"401" 1 1 1 0 "North Africa"
"402" 1 1 1 0 "North Africa"
"403" 1 1 1 1 "North Africa"
"404" 4 1 1 0 "American and Australia"
"405" 1 1 1 0 "North Africa"
"406" 1 1 1 0 "North Africa"
"407" 2 1 1 0 "North Africa"
"408" 2 1 1 0 "Asia"
"409" 2 1 1 0 "North Africa"
"410" 1 1 1 1 "Surinam"
"411" 1 1 1 0 "Asia"
"412" 1 1 1 0 "Surinam"
"413" 1 1 1 0 "Rest of Africa"
"414" 1 1 1 0 "Asia"
"415" 2 1 1 0 "North Africa"
"416" 1 1 1 1 "American and Australia"
"417" 1 1 1 0 "Rest of Africa"
"418" 1 1 1 0 "Rest of Africa"
"419" 2 1 1 0 "North Africa"
"420" 3 1 1 1 "Rest of Africa"
"421" 1 1 1 0 "Rest of Africa"
"422" 1 1 1 0 "Turkey"
"423" 1 1 1 0 "Rest of Africa"
"424" 1 1 1 0 "Rest of Africa"
"425" 1 1 1 0 "Rest of Africa"
"426" 1 1 1 0 "Rest of Africa"
"427" 1 1 1 0 "Turkey"
"428" 1 1 1 0 "Rest of Africa"
"429" 1 1 1 0 "Rest of Africa"
"430" 1 1 1 1 "Asia"
"431" 1 1 1 0 "North Africa"
"432" 2 1 1 0 "North Africa"
"433" 1 1 1 0 "American and Australia"
"434" 1 0 1 0 "Rest of Africa"
"435" 1 1 1 0 "Turkey"
"436" 1 1 0 0 "Turkey"
"437" 1 1 1 0 "Rest of Africa"
"438" 1 1 1 0 "Surinam"
"439" 1 1 1 1 "Surinam"
"440" 1 1 1 0 "North Africa"
"441" 1 1 1 0 "North Africa"
"442" 1 1 1 0 "Rest of Africa"
"443" 1 1 1 0 "North Africa"
"444" 1 1 1 0 "North Africa"
"445" 1 1 1 1 "Surinam"
"446" 1 1 0 0 "American and Australia"
"447" 1 1 1 0 "North Africa"
"448" 1 1 0 1 "Asia"
"449" 2 1 1 0 "American and Australia"
"450" 2 1 1 0 "North Africa"
"451" 2 1 1 0 "North Africa"
"452" 1 1 1 0 "North Africa"
"453" 1 1 1 0 "Rest of Africa"
"454" 1 1 1 0 "Asia"
"455" 1 1 1 0 "North Africa"
"456" 1 1 1 0 "Surinam"
"457" 1 1 1 0 "Surinam"
"458" 1 1 1 0 "American and Australia"
"459" 1 1 1 0 "Asia"
"460" 1 1 1 1 "American and Australia"
"461" 2 1 1 0 "North Africa"
"462" 1 1 1 0 "Asia"
"463" 1 1 1 0 "North Africa"
"464" 1 1 0 1 "North Africa"
"465" 2 1 1 0 "North Africa"
"466" 1 1 1 0 "North Africa"
"467" 1 1 1 0 "American and Australia"
"468" 1 1 1 0 "Turkey"
"469" 1 1 1 0 "North Africa"
"470" 1 1 1 0 "Asia"
"471" 3 1 1 0 "North Africa"
"472" 1 1 1 0 "North Africa"
"473" 1 1 1 0 "North Africa"
"474" 1 1 1 0 "North Africa"
"475" 3 1 1 0 "North Africa"
"476" 3 1 1 0 "Rest of Africa"
"477" 1 1 1 0 "Asia"
"478" 1 1 1 0 "North Africa"
"479" 1 1 1 0 "Asia"
"480" 1 1 1 0 "American and Australia"
"481" 1 1 1 0 "Asia"
"482" 1 1 1 0 "North Africa"
"483" 1 1 1 0 "North Africa"
"484" 1 1 1 0 "North Africa"
"485" 1 1 1 0 "Surinam"
"486" 1 1 1 1 "North Africa"
"487" 1 1 1 0 "North Africa"
"488" 1 1 1 1 "North Africa"
"489" 1 1 1 0 "North Africa"
"490" 1 1 1 1 "North Africa"
"491" 1 1 1 0 "American and Australia"
"492" 1 1 1 0 "Asia"
"493" 3 1 1 0 "North Africa"
"494" 1 1 1 0 "North Africa"
"495" 1 1 1 0 "Rest of Africa"
"496" 1 1 1 0 "North Africa"
"497" 1 1 1 0 "Asia"
"498" 1 1 1 0 "Asia"
"499" 1 1 0 0 "Turkey"
"500" 2 1 1 0 "North Africa"
"501" 1 1 1 0 "Surinam"
"502" 1 1 1 0 "Surinam"
"503" 1 1 1 0 "North Africa"
"504" 1 1 1 0 "American and Australia"
"505" 2 1 1 0 "North Africa"
"506" 1 1 1 0 "North Africa"
"507" 1 1 1 0 "Turkey"
"508" 1 1 1 0 "Rest of Africa"
"509" 1 1 1 0 "Rest of Africa"
"510" 2 1 1 0 "North Africa"
"511" 1 1 1 0 "Surinam"
"512" 1 1 1 0 "Turkey"
"513" 1 1 1 0 "Asia"
"514" 1 1 1 0 "North Africa"
"515" 2 1 1 0 "North Africa"
"516" 3 1 1 0 "North Africa"
"517" 1 1 1 0 "Surinam"
"518" 1 1 1 0 "North Africa"
"519" 1 1 1 0 "Turkey"
"520" 1 1 1 1 "Asia"
"521" 1 1 1 1 "Rest of Africa"
"522" 1 1 1 0 "North Africa"
"523" 1 1 1 1 "North Africa"
"524" 1 1 1 0 "North Africa"
"525" 1 1 1 0 "North Africa"
"526" 4 1 1 0 "North Africa"
"527" 1 1 1 0 "North Africa"
"528" 1 1 1 0 "Turkey"
"529" 1 1 1 1 "Turkey"
"530" 1 1 1 0 "Rest of Africa"
"531" 1 1 1 0 "Asia"
"532" 1 1 1 0 "North Africa"
"533" 1 1 1 0 "North Africa"
"534" 1 1 1 0 "Rest of Africa"
"535" 1 1 1 0 "Rest of Africa"
"536" 1 1 1 1 "Rest of Africa"
"537" 1 1 1 0 "Turkey"
"538" 1 1 1 0 "Turkey"
"539" 2 1 1 0 "American and Australia"
"540" 1 0 1 0 "American and Australia"
"541" 1 1 1 0 "North Africa"
"542" 2 1 0 0 "Surinam"
"543" 1 1 1 0 "Surinam"
"544" 1 1 1 0 "North Africa"
"545" 1 1 1 0 "North Africa"
"546" 3 1 1 0 "North Africa"
"547" 2 1 1 1 "Rest of Africa"
"548" 1 1 1 0 "American and Australia"
"549" 1 1 1 1 "Rest of Africa"
"550" 1 1 1 0 "Rest of Africa"
"551" 1 1 0 0 "Surinam"
"552" 1 1 1 0 "Rest of Africa"
"553" 1 1 1 0 "Rest of Africa"
"554" 1 1 1 0 "North Africa"
"555" 2 1 1 0 "North Africa"
"556" 1 1 1 0 "North Africa"
"557" 1 1 1 0 "American and Australia"
"558" 1 1 1 0 "Turkey"
"559" 1 1 1 0 "North Africa"
"560" 1 1 1 0 "North Africa"
"561" 1 1 1 0 "Turkey"
"562" 1 1 1 0 "North Africa"
"563" 1 1 1 0 "Asia"
"564" 1 1 1 0 "Asia"
"565" 1 1 1 0 "North Africa"
"566" 1 1 1 1 "Asia"
"567" 2 1 1 0 "North Africa"
"568" 1 1 1 0 "North Africa"
"569" 2 1 1 0 "North Africa"
"570" 1 1 1 0 "Asia"
"571" 1 1 1 0 "North Africa"
"572" 1 1 1 0 "North Africa"
"573" 1 1 1 1 "Asia"
"574" 1 1 1 0 "North Africa"
"575" 1 1 1 0 "North Africa"
"576" 1 1 1 0 "American and Australia"
"577" 1 1 0 0 "North Africa"
"578" 1 1 1 0 "North Africa"
"579" 2 0 1 0 "American and Australia"
"580" 1 1 1 0 "North Africa"
"581" 1 1 1 0 "North Africa"
"582" 1 1 1 1 "American and Australia"
"583" 1 1 1 0 "Rest of Africa"
"584" 1 1 1 0 "Asia"
"585" 1 1 1 0 "Asia"
"586" 1 1 1 0 "North Africa"
"587" 1 1 1 0 "American and Australia"
"588" 1 1 1 1 "Rest of Africa"
"589" 1 1 1 1 "North Africa"
"590" 1 1 1 0 "North Africa"
"591" 1 1 1 0 "Rest of Africa"
"592" 1 1 1 0 "North Africa"
"593" 1 1 1 0 "North Africa"
"594" 1 1 1 0 "North Africa"
"595" 1 1 1 0 "North Africa"
"596" 1 1 1 1 "North Africa"
"597" 1 1 1 0 "North Africa"
"598" 1 1 1 0 "Asia"
"599" 1 1 1 0 "American and Australia"
"600" 1 1 1 0 "Asia"
"601" 1 1 1 0 "Asia"
"602" 1 1 1 0 "North Africa"
"603" 1 1 1 0 "Asia"
"604" 2 1 1 1 "North Africa"
"605" 1 1 1 0 "Asia"
"606" 1 1 1 0 "North Africa"
"607" 1 1 1 0 "Asia"
"608" 1 1 1 0 "North Africa"
"609" 1 1 1 0 "American and Australia"
"610" 1 1 1 0 "Asia"
"611" 1 1 1 0 "Asia"
"612" 1 1 1 0 "Turkey"
"613" 1 1 1 0 "North Africa"
"614" 1 1 1 0 "Asia"
"615" 1 1 1 0 "Asia"
"616" 1 1 1 0 "North Africa"
"617" 1 1 1 0 "Asia"
"618" 2 1 1 0 "American and Australia"
"619" 1 1 1 1 "Rest of Africa"
"620" 1 1 1 0 "North Africa"
"621" 1 1 1 0 "Asia"
"622" 1 1 1 0 "Asia"
"623" 2 1 1 0 "North Africa"
"624" 3 1 1 0 "North Africa"
"625" 1 1 0 0 "North Africa"
"626" 1 1 1 0 "Rest of Africa"
"627" 1 1 1 0 "Rest of Africa"
"628" 1 1 1 0 "North Africa"
"629" 2 1 1 0 "North Africa"
"630" 1 1 1 0 "American and Australia"
"631" 1 1 1 0 "Asia"
"632" 1 1 1 0 "North Africa"
"633" 1 1 1 0 "American and Australia"
"634" 1 1 1 0 "Asia"
"635" 1 1 1 0 "Rest of Africa"
"636" 1 1 1 0 "North Africa"
"637" 1 1 1 1 "American and Australia"
"638" 1 0 1 0 "North Africa"
"639" 1 0 1 0 "Asia"
"640" 1 0 1 0 "North Africa"
"641" 1 0 0 0 "Asia"
"642" 1 0 1 0 "Asia"
"643" 1 0 1 0 "Asia"
"644" 1 0 1 0 "North Africa"
"645" 1 0 1 0 "North Africa"
"646" 2 0 1 0 "North Africa"
"647" 1 0 1 0 "Asia"
"648" 1 0 0 0 "North Africa"
"649" 1 0 1 0 "North Africa"
"650" 1 0 1 0 "North Africa"
"651" 1 0 1 1 "North Africa"
"652" 1 0 1 1 "Rest of Africa"
"653" 1 0 1 0 "North Africa"
"654" 1 0 1 0 "North Africa"
"655" 2 0 1 1 "Asia"
"656" 1 0 1 0 "Rest of Africa"
"657" 1 0 1 0 "Asia"
"658" 1 0 1 0 "North Africa"
"659" 1 0 1 1 "North Africa"
"660" 1 0 1 1 "North Africa"
"661" 1 0 1 0 "Rest of Africa"
"662" 1 0 1 0 "North Africa"
"663" 1 0 1 0 "North Africa"
"664" 1 0 1 0 "North Africa"
"665" 1 0 1 0 "Rest of Africa"
"666" 1 0 0 0 "North Africa"
"667" 1 0 1 0 "Asia"
"668" 1 0 1 0 "North Africa"
"669" 1 0 1 0 "North Africa"
"670" 1 0 1 0 "Rest of Africa"
"671" 1 0 1 1 "North Africa"
"672" 3 0 1 0 "North Africa"
"673" 1 0 1 1 "North Africa"
"674" 2 0 1 0 "North Africa"
"675" 1 0 1 0 "Turkey"
"676" 1 0 1 0 "North Africa"
"677" 2 0 1 0 "Rest of Africa"
"678" 1 0 1 0 "North Africa"
"679" 2 0 1 0 "North Africa"
"680" 1 0 1 0 "American and Australia"
"681" 1 0 1 0 "Surinam"
"682" 1 0 1 0 "North Africa"
"683" 1 0 1 0 "North Africa"
"684" 1 0 1 1 "American and Australia"
"685" 1 0 1 1 "American and Australia"
"686" 3 0 1 1 "North Africa"
"687" 1 0 1 1 "North Africa"
"688" 1 0 1 0 "North Africa"
"689" 1 0 1 0 "Asia"
"690" 1 0 1 0 "North Africa"
"691" 1 0 1 0 "North Africa"
"692" 2 0 1 0 "North Africa"
"693" 1 0 1 0 "North Africa"
"694" 2 0 1 0 "North Africa"
"695" 1 0 1 0 "North Africa"
"696" 1 0 1 0 "North Africa"
"697" 1 0 1 0 "American and Australia"
"698" 1 0 1 0 "American and Australia"
"699" 1 0 1 0 "North Africa"
"700" 1 0 1 0 "North Africa"
"701" 2 0 1 0 "American and Australia"
"702" 1 0 1 0 "North Africa"
"703" 1 0 1 0 "American and Australia"
"704" 1 0 1 0 "American and Australia"
"705" 1 0 1 0 "American and Australia"
"706" 1 0 1 0 "Asia"
"707" 1 0 1 1 "North Africa"
"708" 2 0 1 0 "North Africa"
"709" 1 0 1 0 "American and Australia"
"710" 1 0 1 0 "North Africa"
"711" 1 0 1 0 "American and Australia"
"712" 1 0 0 0 "Turkey"
"713" 1 0 1 1 "Asia"
"714" 1 0 1 1 "Rest of Africa"
"715" 1 0 1 0 "Asia"
"716" 1 0 1 0 "Asia"
"717" 1 0 1 1 "North Africa"
"718" 2 0 1 1 "Asia"
"719" 1 0 1 0 "North Africa"
"720" 1 0 1 0 "Surinam"
"721" 1 0 1 0 "Asia"
